This file is created using RaceChrono v10.2.4 ( http://racechrono.com/ ).
Format,3
Session title,"Sonoma Raceway"
Session type,Lap timing
Track name,"Sonoma Raceway"
Driver name,"Max Fischer"
Created,27/08/2026,05:24
Note,Converted from Ducati DDA binary log

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,altitude,bearing,latitude,longitude,speed,engine_rpm,throttle_position,gear,lean_angle,torque_reduction_fast,torque_reduction_slow
unix time,,,s,m,m,deg,deg,deg,m/s,rpm,%,#,deg,%,%
,,,,,100: gps,100: gps,100: gps,100: gps,100: gps,100: can,100: can,100: can,100: can,100: can,100: can
1724869061.30,0,,1039.30,18381.02,6553.3,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869061.40,0,,1039.40,18381.02,6553.3,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869061.50,0,,1039.50,18381.02,6553.3,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869061.60,0,,1039.60,18381.02,6553.3,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869061.70,0,,1039.70,18381.02,6553.3,90.0,38.1590570,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869061.80,0,,1039.80,18381.13,6553.3,0.0,38.1590580,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869061.90,0,,1039.90,18381.13,6553.3,0.0,38.1590580,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869062.00,0,,1040.00,18381.13,6553.3,0.0,38.1590580,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869062.10,0,,1040.10,18381.13,6553.3,0.0,38.1590580,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869062.20,0,,1040.20,18381.13,6553.3,0.0,38.1590580,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869062.30,0,,1040.30,18381.13,6553.3,0.0,38.1590580,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869062.40,0,,1040.40,18381.13,6553.3,0.0,38.1590580,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869062.50,0,,1040.50,18381.13,6553.3,0.0,38.1590580,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869062.60,0,,1040.60,18381.22,6553.3,270.0,38.1590580,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869062.70,0,,1040.70,18381.33,6553.3,0.0,38.1590590,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869062.80,0,,1040.80,18381.33,6553.2,0.0,38.1590590,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869062.90,0,,1040.90,18381.33,6553.2,0.0,38.1590590,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869063.00,0,,1041.00,18381.33,6553.2,0.0,38.1590590,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869063.10,0,,1041.10,18381.33,6553.2,0.0,38.1590590,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869063.20,0,,1041.20,18381.33,6553.2,0.0,38.1590590,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869063.30,0,,1041.30,18381.33,6553.2,0.0,38.1590590,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869063.40,0,,1041.40,18381.33,6553.2,0.0,38.1590590,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869063.50,0,,1041.50,18381.42,6553.2,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869063.60,0,,1041.60,18381.42,6553.2,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869063.70,0,,1041.70,18381.42,6553.2,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869063.80,0,,1041.80,18381.42,6553.1,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869063.90,0,,1041.90,18381.42,6553.1,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869064.00,0,,1042.00,18381.42,6553.1,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869064.10,0,,1042.10,18381.42,6553.1,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869064.20,0,,1042.20,18381.42,6553.1,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869064.30,0,,1042.30,18381.42,6553.1,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869064.40,0,,1042.40,18381.42,6553.1,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869064.50,0,,1042.50,18381.42,6553.1,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869064.60,0,,1042.60,18381.42,6553.1,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869064.70,0,,1042.70,18381.42,6553.1,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869064.80,0,,1042.80,18381.42,6552.9,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869064.90,0,,1042.90,18381.42,6552.9,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869065.00,0,,1043.00,18381.42,6552.9,270.0,38.1590590,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
